id,sensor_id,window_start,window_end,total_vehicle_count,avg_speed_window,congestion_index,is_congested,computed_at
12,J4_BORELLA,2026-05-09 12:25:00+05:30,2026-05-09 12:30:00+05:30,3069,36.08,8.1561,True,2026-05-09 12:29:02.410233+05:30
8,J4_BORELLA,2026-05-09 12:25:00+05:30,2026-05-09 12:30:00+05:30,558,41.32,1.1580,True,2026-05-09 12:28:16.411010+05:30
9,J2_BAMBALAPITIYA,2026-05-09 12:25:00+05:30,2026-05-09 12:30:00+05:30,3255,35.26,8.9467,True,2026-05-09 12:29:02.359288+05:30
10,J1_KOLLUPITIYA,2026-05-09 12:25:00+05:30,2026-05-09 12:30:00+05:30,2680,37.26,6.7719,True,2026-05-09 12:29:02.366986+05:30
11,J3_TOWN_HALL,2026-05-09 12:25:00+05:30,2026-05-09 12:30:00+05:30,3438,34.89,9.5908,True,2026-05-09 12:29:02.410233+05:30
5,J1_KOLLUPITIYA,2026-05-09 12:25:00+05:30,2026-05-09 12:30:00+05:30,562,36.90,1.4423,True,2026-05-09 12:28:16.411688+05:30
6,J2_BAMBALAPITIYA,2026-05-09 12:25:00+05:30,2026-05-09 12:30:00+05:30,532,35.85,1.4276,True,2026-05-09 12:28:16.413237+05:30
7,J3_TOWN_HALL,2026-05-09 12:25:00+05:30,2026-05-09 12:30:00+05:30,579,26.30,2.1680,True,2026-05-09 12:28:16.411010+05:30
2,J2_BAMBALAPITIYA,2026-05-09 12:00:00+05:30,2026-05-09 12:05:00+05:30,832,38.21,2.0145,True,2026-05-09 12:04:01.924275+05:30
3,J1_KOLLUPITIYA,2026-05-09 12:00:00+05:30,2026-05-09 12:05:00+05:30,1252,38.31,3.0180,True,2026-05-09 12:04:01.924275+05:30
4,J4_BORELLA,2026-05-09 12:00:00+05:30,2026-05-09 12:05:00+05:30,986,35.78,2.6530,True,2026-05-09 12:04:01.925220+05:30
1,J3_TOWN_HALL,2026-05-09 12:00:00+05:30,2026-05-09 12:05:00+05:30,1005,34.73,2.8223,True,2026-05-09 12:04:01.924061+05:30
