id,sensor_id,event_time,vehicle_count,avg_speed,alert_type,alerted_at
34,J4_BORELLA,2026-05-09 12:29:37.311099+05:30,149,6.50,SPEED_BELOW_10,2026-05-09 12:29:40.386022+05:30
33,J4_BORELLA,2026-05-09 12:29:34.292986+05:30,117,2.33,SPEED_BELOW_10,2026-05-09 12:29:40.386022+05:30
32,J1_KOLLUPITIYA,2026-05-09 12:29:33.285817+05:30,120,6.79,SPEED_BELOW_10,2026-05-09 12:29:40.386022+05:30
30,J3_TOWN_HALL,2026-05-09 12:29:32.279909+05:30,104,6.89,SPEED_BELOW_10,2026-05-09 12:29:40.385792+05:30
31,J4_BORELLA,2026-05-09 12:29:30.265680+05:30,143,8.42,SPEED_BELOW_10,2026-05-09 12:29:40.386022+05:30
28,J3_TOWN_HALL,2026-05-09 12:29:29.258439+05:30,139,5.34,SPEED_BELOW_10,2026-05-09 12:29:30.341948+05:30
26,J1_KOLLUPITIYA,2026-05-09 12:29:26.226371+05:30,115,2.79,SPEED_BELOW_10,2026-05-09 12:29:30.341110+05:30
27,J3_TOWN_HALL,2026-05-09 12:29:22.176212+05:30,96,8.18,SPEED_BELOW_10,2026-05-09 12:29:30.341948+05:30
29,J2_BAMBALAPITIYA,2026-05-09 12:29:20.150207+05:30,130,4.89,SPEED_BELOW_10,2026-05-09 12:29:30.802011+05:30
24,J3_TOWN_HALL,2026-05-09 12:29:16.128675+05:30,92,9.12,SPEED_BELOW_10,2026-05-09 12:29:20.949679+05:30
25,J2_BAMBALAPITIYA,2026-05-09 12:29:11.033325+05:30,131,8.38,SPEED_BELOW_10,2026-05-09 12:29:20.960185+05:30
22,J2_BAMBALAPITIYA,2026-05-09 12:29:06.001036+05:30,137,4.93,SPEED_BELOW_10,2026-05-09 12:29:11.159021+05:30
23,J3_TOWN_HALL,2026-05-09 12:29:01.978009+05:30,131,6.38,SPEED_BELOW_10,2026-05-09 12:29:11.178056+05:30
21,J2_BAMBALAPITIYA,2026-05-09 12:29:00.948807+05:30,101,4.29,SPEED_BELOW_10,2026-05-09 12:29:11.159021+05:30
19,J3_TOWN_HALL,2026-05-09 12:28:57.933141+05:30,124,9.63,SPEED_BELOW_10,2026-05-09 12:29:00.985835+05:30
20,J2_BAMBALAPITIYA,2026-05-09 12:28:57.931581+05:30,144,2.52,SPEED_BELOW_10,2026-05-09 12:29:01.051604+05:30
18,J3_TOWN_HALL,2026-05-09 12:28:54.917311+05:30,128,4.72,SPEED_BELOW_10,2026-05-09 12:29:00.985835+05:30
15,J2_BAMBALAPITIYA,2026-05-09 12:28:49.860937+05:30,139,9.18,SPEED_BELOW_10,2026-05-09 12:28:50.830175+05:30
17,J3_TOWN_HALL,2026-05-09 12:28:47.846769+05:30,114,7.00,SPEED_BELOW_10,2026-05-09 12:28:50.863497+05:30
14,J2_BAMBALAPITIYA,2026-05-09 12:28:45.834010+05:30,123,8.98,SPEED_BELOW_10,2026-05-09 12:28:50.830175+05:30
16,J3_TOWN_HALL,2026-05-09 12:28:44.828724+05:30,116,2.44,SPEED_BELOW_10,2026-05-09 12:28:50.863497+05:30
13,J4_BORELLA,2026-05-09 12:28:36.792792+05:30,116,9.54,SPEED_BELOW_10,2026-05-09 12:28:40.868865+05:30
12,J4_BORELLA,2026-05-09 12:28:19.702644+05:30,132,8.95,SPEED_BELOW_10,2026-05-09 12:28:20.769068+05:30
7,J4_BORELLA,2026-05-09 12:28:14.644980+05:30,93,6.69,SPEED_BELOW_10,2026-05-09 12:28:17.700849+05:30
6,J1_KOLLUPITIYA,2026-05-09 12:28:10.550533+05:30,127,3.70,SPEED_BELOW_10,2026-05-09 12:28:17.700849+05:30
11,J3_TOWN_HALL,2026-05-09 12:28:07.512022+05:30,103,9.88,SPEED_BELOW_10,2026-05-09 12:28:17.731396+05:30
9,J2_BAMBALAPITIYA,2026-05-09 12:28:05.484369+05:30,146,8.82,SPEED_BELOW_10,2026-05-09 12:28:17.709366+05:30
8,J2_BAMBALAPITIYA,2026-05-09 12:28:03.470336+05:30,112,8.63,SPEED_BELOW_10,2026-05-09 12:28:17.709366+05:30
10,J3_TOWN_HALL,2026-05-09 12:28:02.449675+05:30,104,8.02,SPEED_BELOW_10,2026-05-09 12:28:17.731396+05:30
5,J3_TOWN_HALL,2026-05-09 12:27:59.406170+05:30,103,8.89,SPEED_BELOW_10,2026-05-09 12:28:16.411753+05:30
3,J4_BORELLA,2026-05-09 12:03:58.233432+05:30,138,5.07,SPEED_BELOW_10,2026-05-09 12:04:01.003073+05:30
4,J3_TOWN_HALL,2026-05-09 12:03:54.204061+05:30,107,8.18,SPEED_BELOW_10,2026-05-09 12:04:01.022354+05:30
2,J1_KOLLUPITIYA,2026-05-09 12:03:44.130862+05:30,103,2.35,SPEED_BELOW_10,2026-05-09 12:03:53.218079+05:30
1,J1_KOLLUPITIYA,2026-05-09 12:03:41.106209+05:30,145,8.68,SPEED_BELOW_10,2026-05-09 12:03:52.287384+05:30
