id,sensor_id,event_time,processing_time,vehicle_count,avg_speed,ingested_at
61632,J4_BORELLA,2026-05-04 20:10:59.612230+05:30,2026-05-04 20:11:00.003000+05:30,80,54.49,2026-05-04 20:10:59.613000+05:30
61572,J3_TOWN_HALL,2026-05-04 20:10:59.611020+05:30,2026-05-04 20:11:00.003000+05:30,68,58.09,2026-05-04 20:10:59.612000+05:30
61542,J2_BAMBALAPITIYA,2026-05-04 20:10:59.608420+05:30,2026-05-04 20:11:00.003000+05:30,27,36.92,2026-05-04 20:10:59.609000+05:30
61631,J1_KOLLUPITIYA,2026-05-04 20:10:59.607247+05:30,2026-05-04 20:11:00.003000+05:30,62,38.44,2026-05-04 20:10:59.608000+05:30
61630,J4_BORELLA,2026-05-04 20:10:59.510976+05:30,2026-05-04 20:11:00.003000+05:30,35,24.25,2026-05-04 20:10:59.512000+05:30
61571,J3_TOWN_HALL,2026-05-04 20:10:59.509287+05:30,2026-05-04 20:11:00.003000+05:30,20,58.73,2026-05-04 20:10:59.510000+05:30
61541,J2_BAMBALAPITIYA,2026-05-04 20:10:59.507772+05:30,2026-05-04 20:11:00.003000+05:30,66,38.67,2026-05-04 20:10:59.509000+05:30
61629,J1_KOLLUPITIYA,2026-05-04 20:10:59.507060+05:30,2026-05-04 20:11:00.003000+05:30,24,45.83,2026-05-04 20:10:59.507000+05:30
61628,J4_BORELLA,2026-05-04 20:10:59.185007+05:30,2026-05-04 20:11:00.003000+05:30,32,15.12,2026-05-04 20:10:59.186000+05:30
61570,J3_TOWN_HALL,2026-05-04 20:10:59.182973+05:30,2026-05-04 20:11:00.003000+05:30,52,46.26,2026-05-04 20:10:59.184000+05:30
61540,J2_BAMBALAPITIYA,2026-05-04 20:10:59.180961+05:30,2026-05-04 20:11:00.003000+05:30,39,31.49,2026-05-04 20:10:59.182000+05:30
61627,J1_KOLLUPITIYA,2026-05-04 20:10:59.179735+05:30,2026-05-04 20:11:00.003000+05:30,51,29.30,2026-05-04 20:10:59.180000+05:30
61626,J4_BORELLA,2026-05-04 20:10:58.604041+05:30,2026-05-04 20:11:00.003000+05:30,20,59.67,2026-05-04 20:10:58.605000+05:30
61569,J3_TOWN_HALL,2026-05-04 20:10:58.602498+05:30,2026-05-04 20:11:00.003000+05:30,35,23.04,2026-05-04 20:10:58.603000+05:30
61539,J2_BAMBALAPITIYA,2026-05-04 20:10:58.598992+05:30,2026-05-04 20:11:00.003000+05:30,39,52.95,2026-05-04 20:10:58.600000+05:30
61625,J1_KOLLUPITIYA,2026-05-04 20:10:58.597107+05:30,2026-05-04 20:11:00.003000+05:30,41,29.05,2026-05-04 20:10:58.598000+05:30
61624,J4_BORELLA,2026-05-04 20:10:58.502766+05:30,2026-05-04 20:11:00.003000+05:30,77,30.11,2026-05-04 20:10:58.504000+05:30
61568,J3_TOWN_HALL,2026-05-04 20:10:58.500887+05:30,2026-05-04 20:11:00.003000+05:30,58,42.75,2026-05-04 20:10:58.502000+05:30
61538,J2_BAMBALAPITIYA,2026-05-04 20:10:58.499181+05:30,2026-05-04 20:11:00.003000+05:30,35,50.26,2026-05-04 20:10:58.500000+05:30
61623,J1_KOLLUPITIYA,2026-05-04 20:10:58.497395+05:30,2026-05-04 20:11:00.003000+05:30,52,30.81,2026-05-04 20:10:58.498000+05:30
61622,J4_BORELLA,2026-05-04 20:10:58.171967+05:30,2026-05-04 20:11:00.003000+05:30,15,19.38,2026-05-04 20:10:58.175000+05:30
61567,J3_TOWN_HALL,2026-05-04 20:10:58.158253+05:30,2026-05-04 20:11:00.003000+05:30,28,48.44,2026-05-04 20:10:58.170000+05:30
61537,J2_BAMBALAPITIYA,2026-05-04 20:10:58.147285+05:30,2026-05-04 20:11:00.003000+05:30,53,36.56,2026-05-04 20:10:58.157000+05:30
61621,J1_KOLLUPITIYA,2026-05-04 20:10:58.126021+05:30,2026-05-04 20:11:00.003000+05:30,77,53.88,2026-05-04 20:10:58.145000+05:30
61620,J4_BORELLA,2026-05-04 20:10:57.592589+05:30,2026-05-04 20:11:00.003000+05:30,42,16.25,2026-05-04 20:10:57.594000+05:30
61566,J3_TOWN_HALL,2026-05-04 20:10:57.589833+05:30,2026-05-04 20:11:00.003000+05:30,76,29.30,2026-05-04 20:10:57.590000+05:30
61536,J2_BAMBALAPITIYA,2026-05-04 20:10:57.587245+05:30,2026-05-04 20:11:00.003000+05:30,60,50.37,2026-05-04 20:10:57.588000+05:30
61619,J1_KOLLUPITIYA,2026-05-04 20:10:57.586192+05:30,2026-05-04 20:11:00.003000+05:30,23,41.36,2026-05-04 20:10:57.586000+05:30
61618,J4_BORELLA,2026-05-04 20:10:57.485390+05:30,2026-05-04 20:11:00.003000+05:30,46,38.50,2026-05-04 20:10:57.486000+05:30
61565,J3_TOWN_HALL,2026-05-04 20:10:57.483784+05:30,2026-05-04 20:11:00.003000+05:30,79,46.19,2026-05-04 20:10:57.485000+05:30
61535,J2_BAMBALAPITIYA,2026-05-04 20:10:57.481563+05:30,2026-05-04 20:11:00.003000+05:30,31,37.31,2026-05-04 20:10:57.482000+05:30
61617,J1_KOLLUPITIYA,2026-05-04 20:10:57.480203+05:30,2026-05-04 20:11:00.003000+05:30,46,30.08,2026-05-04 20:10:57.481000+05:30
61616,J4_BORELLA,2026-05-04 20:10:57.119403+05:30,2026-05-04 20:11:00.003000+05:30,77,21.09,2026-05-04 20:10:57.120000+05:30
61564,J3_TOWN_HALL,2026-05-04 20:10:57.116509+05:30,2026-05-04 20:11:00.003000+05:30,55,28.48,2026-05-04 20:10:57.118000+05:30
61534,J2_BAMBALAPITIYA,2026-05-04 20:10:57.113775+05:30,2026-05-04 20:11:00.003000+05:30,55,43.00,2026-05-04 20:10:57.115000+05:30
61615,J1_KOLLUPITIYA,2026-05-04 20:10:57.112678+05:30,2026-05-04 20:11:00.003000+05:30,60,55.71,2026-05-04 20:10:57.113000+05:30
61614,J4_BORELLA,2026-05-04 20:10:56.584054+05:30,2026-05-04 20:11:00.003000+05:30,53,26.51,2026-05-04 20:10:56.585000+05:30
61563,J3_TOWN_HALL,2026-05-04 20:10:56.582624+05:30,2026-05-04 20:11:00.003000+05:30,27,54.80,2026-05-04 20:10:56.583000+05:30
61533,J2_BAMBALAPITIYA,2026-05-04 20:10:56.580902+05:30,2026-05-04 20:11:00.003000+05:30,49,44.89,2026-05-04 20:10:56.582000+05:30
61613,J1_KOLLUPITIYA,2026-05-04 20:10:56.579682+05:30,2026-05-04 20:11:00.003000+05:30,20,33.99,2026-05-04 20:10:56.580000+05:30
61612,J4_BORELLA,2026-05-04 20:10:56.476639+05:30,2026-05-04 20:11:00.003000+05:30,38,36.91,2026-05-04 20:10:56.478000+05:30
61562,J3_TOWN_HALL,2026-05-04 20:10:56.474099+05:30,2026-05-04 20:11:00.003000+05:30,31,17.25,2026-05-04 20:10:56.475000+05:30
61532,J2_BAMBALAPITIYA,2026-05-04 20:10:56.470678+05:30,2026-05-04 20:11:00.003000+05:30,75,53.11,2026-05-04 20:10:56.473000+05:30
61611,J1_KOLLUPITIYA,2026-05-04 20:10:56.463443+05:30,2026-05-04 20:11:00.003000+05:30,136,8.92,2026-05-04 20:10:56.469000+05:30
61610,J4_BORELLA,2026-05-04 20:10:56.108243+05:30,2026-05-04 20:11:00.003000+05:30,78,27.64,2026-05-04 20:10:56.109000+05:30
61561,J3_TOWN_HALL,2026-05-04 20:10:56.106616+05:30,2026-05-04 20:11:00.003000+05:30,26,24.01,2026-05-04 20:10:56.108000+05:30
